VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
2487, 739, 0.65486, 4.57588, 0.07024, 0.98795, -0.12349, 0.09327, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.93945
2488, 734, 0.62488, 4.99421, 0.33492, 0.8361, -0.15224, 0.52702, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.88546
2489, 735, 0.24597, 5.04536, 0.70693, 0.35741, -0.02864, 0.93351, 0.80, 0.80, 0.80, 1.00, 0.73225, 0.88546
2490, 739, 0.65486, 4.57588, 0.07024, 0.98795, -0.12349, 0.09327, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.93945
2491, 735, 0.24597, 5.04536, 0.70693, 0.35741, -0.02864, 0.93351, 0.80, 0.80, 0.80, 1.00, 0.73225, 0.88546
2492, 740, 0.48165, 4.5621, 0.58609, 0.90116, -0.01881, 0.43307, 0.80, 0.80, 0.80, 1.00, 0.73455, 0.94095
2493, 740, 0.48165, 4.5621, 0.58609, 0.90116, -0.01881, 0.43307, 0.80, 0.80, 0.80, 1.00, 0.73455, 0.94095
2494, 735, 0.24597, 5.04536, 0.70693, 0.35741, -0.02864, 0.93351, 0.80, 0.80, 0.80, 1.00, 0.73225, 0.88546
2495, 741, 0.33982, 4.55374, 0.80071, 0.51079, 0.09134, 0.85483, 0.80, 0.80, 0.80, 1.00, 0.7777, 0.94186
2496, 742, -0.21228, 4.98697, 0.69032, -0.17297, 0.24903, 0.95292, 0.80, 0.80, 0.80, 1.00, 0.80041, 0.89912
2497, 735, 0.24597, 5.04536, 0.70693, 0.35741, -0.02864, 0.93351, 0.80, 0.80, 0.80, 1.00, 0.73225, 0.88546
2498, 736, -0.19445, 5.11165, 0.65295, -0.16716, 0.36046, 0.91767, 0.80, 0.80, 0.80, 1.00, 0.80282, 0.88546
2499, 742, -0.21228, 4.98697, 0.69032, -0.17297, 0.24903, 0.95292, 0.80, 0.80, 0.80, 1.00, 0.80041, 0.89912
2500, 743, -0.03055, 4.56156, 0.86935, 0.19718, 0.12069, 0.97291, 0.80, 0.80, 0.80, 1.00, 0.82847, 0.941
2501, 741, 0.33982, 4.55374, 0.80071, 0.51079, 0.09134, 0.85483, 0.80, 0.80, 0.80, 1.00, 0.7777, 0.94186
2502, 742, -0.21228, 4.98697, 0.69032, -0.17297, 0.24903, 0.95292, 0.80, 0.80, 0.80, 1.00, 0.80041, 0.89912
2503, 736, -0.19445, 5.11165, 0.65295, -0.16716, 0.36046, 0.91767, 0.80, 0.80, 0.80, 1.00, 0.80282, 0.88546
2504, 744, -0.43501, 5.0266, 0.62201, -0.24264, 0.29303, 0.9248, 0.80, 0.80, 0.80, 1.00, 0.82069, 0.89852
2505, 744, -0.43501, 5.0266, 0.62201, -0.24264, 0.29303, 0.9248, 0.80, 0.80, 0.80, 1.00, 0.82069, 0.89852
2506, 736, -0.19445, 5.11165, 0.65295, -0.16716, 0.36046, 0.91767, 0.80, 0.80, 0.80, 1.00, 0.80282, 0.88546
2507, 738, -0.37603, 5.13952, 0.59231, -0.18797, 0.35483, 0.91584, 0.80, 0.80, 0.80, 1.00, 0.81144, 0.88546
2508, 742, -0.21228, 4.98697, 0.69032, -0.17297, 0.24903, 0.95292, 0.80, 0.80, 0.80, 1.00, 0.80041, 0.89912
2509, 741, 0.33982, 4.55374, 0.80071, 0.51079, 0.09134, 0.85483, 0.80, 0.80, 0.80, 1.00, 0.7777, 0.94186
2510, 735, 0.24597, 5.04536, 0.70693, 0.35741, -0.02864, 0.93351, 0.80, 0.80, 0.80, 1.00, 0.73225, 0.88546
2511, 742, -0.21228, 4.98697, 0.69032, -0.17297, 0.24903, 0.95292, 0.80, 0.80, 0.80, 1.00, 0.80041, 0.89912
2512, 744, -0.43501, 5.0266, 0.62201, -0.24264, 0.29303, 0.9248, 0.80, 0.80, 0.80, 1.00, 0.82069, 0.89852
2513, 743, -0.03055, 4.56156, 0.86935, 0.19718, 0.12069, 0.97291, 0.80, 0.80, 0.80, 1.00, 0.82847, 0.941
2514, 716, -0.02424, 6.39833, 0.85886, -0.11743, -0.01728, 0.99206, 0.80, 0.80, 0.80, 1.00, 0.747, 0.72113
2515, 713, -0.06438, 6.14856, 0.82316, -0.06915, -0.22903, 0.97008, 0.80, 0.80, 0.80, 1.00, 0.747, 0.74537
2516, 720, 0.57398, 6.26906, 0.72515, 0.35586, -0.22098, 0.90709, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.72087
2517, 716, -0.02424, 6.39833, 0.85886, -0.11743, -0.01728, 0.99206, 0.80, 0.80, 0.80, 1.00, 0.747, 0.72113
2518, 719, -0.08796, 7.28497, 0.58732, 0.04632, 0.60085, 0.79727, 0.80, 0.80, 0.80, 1.00, 0.7742, 0.6389
2519, 717, -0.23202, 6.49514, 0.77261, -0.53423, 0.0456, 0.84309, 0.80, 0.80, 0.80, 1.00, 0.80067, 0.71913
2520, 713, -0.06438, 6.14856, 0.82316, -0.06915, -0.22903, 0.97008, 0.80, 0.80, 0.80, 1.00, 0.747, 0.74537
2521, 712, -0.23909, 5.54177, 0.73828, -0.32668, -0.32842, 0.88533, 0.80, 0.80, 0.80, 1.00, 0.73768, 0.82474
2522, 715, 0.53555, 6.03081, 0.68182, 0.3615, -0.28796, 0.88584, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.74442
2523, 715, 0.53555, 6.03081, 0.68182, 0.3615, -0.28796, 0.88584, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.74442
2524, 720, 0.57398, 6.26906, 0.72515, 0.35586, -0.22098, 0.90709, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.72087
2525, 713, -0.06438, 6.14856, 0.82316, -0.06915, -0.22903, 0.97008, 0.80, 0.80, 0.80, 1.00, 0.747, 0.74537
